
Host: sophon

Timers On : Sun Nov 25 20:49:16 2018
Timers Off: Sun Nov 25 20:50:43 2018

Wall Time:       86.71 seconds

JK: (A|mn)                  :      5.433u      0.000s      3.263w      1 calls
JK: (A|Q)^-1/2              :      1.350u      0.017s      0.825w      1 calls
JK: (Q|mn)                  :      2.233u      0.017s      1.340w      1 calls
HF: Form H                  :      0.000u      0.000s      0.009w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.006w      1 calls
HF: Guess                   :      0.167u      0.000s      0.097w      1 calls
SAD Guess                   :      0.167u      0.000s      0.096w      1 calls
HF: Form G                  :     13.650u      0.600s      8.567w     11 calls
JK: D                       :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :     13.650u      0.600s      8.563w     11 calls
JK: J                       :      0.600u      0.017s      0.362w     11 calls
JK: J1                      :      0.300u      0.017s      0.173w     11 calls
JK: J2                      :      0.300u      0.000s      0.187w     11 calls
JK: K                       :     12.967u      0.000s      7.785w     11 calls
JK: K1                      :     10.817u      0.000s      6.482w     11 calls
JK: K2                      :      2.150u      0.000s      1.303w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.083u      0.000s      0.034w     11 calls
DIISManager::add_entry      :      0.000u      0.000s      0.004w     10 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.011w      9 calls
bMatrix setup               :      0.017u      0.000s      0.005w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.005w      9 calls
HF: Form C                  :      0.083u      0.033s      0.064w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      5.433u      0.000s      3.263w      1 calls
JK: (A|Q)^-1/2              :      1.350u      0.017s      0.825w      1 calls
JK: (Q|mn)                  :      2.233u      0.017s      1.340w      1 calls
HF: Form H                  :      0.000u      0.000s      0.009w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.006w      1 calls
HF: Guess                   :      0.167u      0.000s      0.097w      1 calls
| SAD Guess                 :      0.167u      0.000s      0.096w      1 calls
HF: Form G                  :     13.650u      0.600s      8.567w     11 calls
| JK: D                     :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :     13.650u      0.600s      8.563w     11 calls
| | JK: J                   :      0.600u      0.017s      0.362w     11 calls
| | | JK: J1                :      0.300u      0.017s      0.173w     11 calls
| | | JK: J2                :      0.300u      0.000s      0.187w     11 calls
| | JK: K                   :     12.967u      0.000s      7.785w     11 calls
| | | JK: K1                :     10.817u      0.000s      6.482w     11 calls
| | | JK: K2                :      2.150u      0.000s      1.303w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.083u      0.000s      0.034w     11 calls
| DIISManager::add_entry    :      0.000u      0.000s      0.004w     10 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.011w      9 calls
| | bMatrix setup           :      0.017u      0.000s      0.005w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.000s      0.005w      9 calls
HF: Form C                  :      0.083u      0.033s      0.064w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

***********************************************************
