
Host: sophon

Timers On : Sun Nov 25 21:01:02 2018
Timers Off: Sun Nov 25 21:02:20 2018

Wall Time:       78.24 seconds

JK: (A|mn)                  :      4.167u      0.000s      2.500w      1 calls
JK: (A|Q)^-1/2              :      1.067u      0.033s      0.654w      1 calls
JK: (Q|mn)                  :      1.633u      0.000s      0.977w      1 calls
HF: Form H                  :      0.000u      0.000s      0.008w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.005w      1 calls
HF: Guess                   :      0.217u      0.000s      0.126w      1 calls
SAD Guess                   :      0.217u      0.000s      0.125w      1 calls
HF: Form G                  :      9.383u      0.417s      5.904w     11 calls
JK: D                       :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :      9.383u      0.417s      5.901w     11 calls
JK: J                       :      0.433u      0.000s      0.280w     11 calls
JK: J1                      :      0.217u      0.000s      0.134w     11 calls
JK: J2                      :      0.217u      0.000s      0.144w     11 calls
JK: K                       :      8.783u      0.000s      5.265w     11 calls
JK: K1                      :      6.917u      0.000s      4.142w     11 calls
JK: K2                      :      1.850u      0.000s      1.123w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.083u      0.017s      0.029w     11 calls
DIISManager::add_entry      :      0.033u      0.000s      0.003w     10 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.009w      9 calls
bMatrix setup               :      0.017u      0.000s      0.004w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.000s      0.004w      9 calls
HF: Form C                  :      0.050u      0.033s      0.052w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      4.167u      0.000s      2.500w      1 calls
JK: (A|Q)^-1/2              :      1.067u      0.033s      0.654w      1 calls
JK: (Q|mn)                  :      1.633u      0.000s      0.977w      1 calls
HF: Form H                  :      0.000u      0.000s      0.008w      1 calls
HF: Form S/X                :      0.000u      0.000s      0.005w      1 calls
HF: Guess                   :      0.217u      0.000s      0.126w      1 calls
| SAD Guess                 :      0.217u      0.000s      0.125w      1 calls
HF: Form G                  :      9.383u      0.417s      5.904w     11 calls
| JK: D                     :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :      9.383u      0.417s      5.901w     11 calls
| | JK: J                   :      0.433u      0.000s      0.280w     11 calls
| | | JK: J1                :      0.217u      0.000s      0.134w     11 calls
| | | JK: J2                :      0.217u      0.000s      0.144w     11 calls
| | JK: K                   :      8.783u      0.000s      5.265w     11 calls
| | | JK: K1                :      6.917u      0.000s      4.142w     11 calls
| | | JK: K2                :      1.850u      0.000s      1.123w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.083u      0.017s      0.029w     11 calls
| DIISManager::add_entry    :      0.033u      0.000s      0.003w     10 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.009w      9 calls
| | bMatrix setup           :      0.017u      0.000s      0.004w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.000s      0.004w      9 calls
HF: Form C                  :      0.050u      0.033s      0.052w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

***********************************************************
