
Host: sophon

Timers On : Sun Nov 25 20:19:56 2018
Timers Off: Sun Nov 25 20:22:27 2018

Wall Time:      151.84 seconds

JK: (A|mn)                  :      9.733u      0.000s      5.841w      1 calls
JK: (A|Q)^-1/2              :      3.000u      0.017s      1.811w      1 calls
JK: (Q|mn)                  :      4.383u      0.000s      2.630w      1 calls
HF: Form H                  :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.009w      1 calls
HF: Guess                   :      0.167u      0.000s      0.099w      1 calls
SAD Guess                   :      0.167u      0.000s      0.097w      1 calls
HF: Form G                  :     29.217u      0.867s     18.050w     11 calls
JK: D                       :      0.000u      0.033s      0.002w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.001w     11 calls
JK: JK                      :     29.217u      0.817s     18.045w     11 calls
JK: J                       :      0.917u      0.033s      0.581w     11 calls
JK: J1                      :      0.467u      0.033s      0.279w     11 calls
JK: J2                      :      0.450u      0.000s      0.300w     11 calls
JK: K                       :     28.067u      0.000s     16.813w     11 calls
JK: K1                      :     23.700u      0.000s     14.221w     11 calls
JK: K2                      :      4.350u      0.000s      2.591w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.067u      0.050s      0.050w     11 calls
DIISManager::add_entry      :      0.017u      0.000s      0.005w     10 calls
DIISManager::extrapolate    :      0.000u      0.017s      0.014w      9 calls
bMatrix setup               :      0.000u      0.000s      0.007w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.000u      0.017s      0.006w      9 calls
HF: Form C                  :      0.133u      0.017s      0.101w     11 calls
HF: Form D                  :      0.000u      0.000s      0.002w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      9.733u      0.000s      5.841w      1 calls
JK: (A|Q)^-1/2              :      3.000u      0.017s      1.811w      1 calls
JK: (Q|mn)                  :      4.383u      0.000s      2.630w      1 calls
HF: Form H                  :      0.000u      0.000s      0.010w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.009w      1 calls
HF: Guess                   :      0.167u      0.000s      0.099w      1 calls
| SAD Guess                 :      0.167u      0.000s      0.097w      1 calls
HF: Form G                  :     29.217u      0.867s     18.050w     11 calls
| JK: D                     :      0.000u      0.033s      0.002w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.001w     11 calls
| JK: JK                    :     29.217u      0.817s     18.045w     11 calls
| | JK: J                   :      0.917u      0.033s      0.581w     11 calls
| | | JK: J1                :      0.467u      0.033s      0.279w     11 calls
| | | JK: J2                :      0.450u      0.000s      0.300w     11 calls
| | JK: K                   :     28.067u      0.000s     16.813w     11 calls
| | | JK: K1                :     23.700u      0.000s     14.221w     11 calls
| | | JK: K2                :      4.350u      0.000s      2.591w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.067u      0.050s      0.050w     11 calls
| DIISManager::add_entry    :      0.017u      0.000s      0.005w     10 calls
| DIISManager::extrapolate  :      0.000u      0.017s      0.014w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.007w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.000u      0.017s      0.006w      9 calls
HF: Form C                  :      0.133u      0.017s      0.101w     11 calls
HF: Form D                  :      0.000u      0.000s      0.002w     11 calls

***********************************************************
