
Host: sophon

Timers On : Sun Nov 25 21:02:21 2018
Timers Off: Sun Nov 25 21:03:40 2018

Wall Time:       79.28 seconds

JK: (A|mn)                  :      4.167u      0.000s      2.501w      1 calls
JK: (A|Q)^-1/2              :      1.100u      0.017s      0.662w      1 calls
JK: (Q|mn)                  :      1.617u      0.017s      0.978w      1 calls
HF: Form H                  :      0.000u      0.017s      0.010w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.005w      1 calls
HF: Guess                   :      0.200u      0.000s      0.124w      1 calls
SAD Guess                   :      0.200u      0.000s      0.123w      1 calls
HF: Form G                  :      9.317u      0.500s      5.887w     11 calls
JK: D                       :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                  :      0.000u      0.000s      0.000w     11 calls
JK: JK                      :      9.317u      0.500s      5.883w     11 calls
JK: J                       :      0.450u      0.000s      0.282w     11 calls
JK: J1                      :      0.200u      0.000s      0.136w     11 calls
JK: J2                      :      0.250u      0.000s      0.144w     11 calls
JK: K                       :      8.733u      0.000s      5.246w     11 calls
JK: K1                      :      6.867u      0.000s      4.125w     11 calls
JK: K2                      :      1.867u      0.000s      1.120w     11 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.100u      0.000s      0.029w     11 calls
DIISManager::add_entry      :      0.033u      0.000s      0.003w     10 calls
DIISManager::extrapolate    :      0.017u      0.000s      0.009w      9 calls
bMatrix setup               :      0.000u      0.000s      0.004w      9 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.000w      9 calls
New vector                  :      0.017u      0.000s      0.004w      9 calls
HF: Form C                  :      0.017u      0.000s      0.053w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

-----------------------------------------------------------
JK: (A|mn)                  :      4.167u      0.000s      2.501w      1 calls
JK: (A|Q)^-1/2              :      1.100u      0.017s      0.662w      1 calls
JK: (Q|mn)                  :      1.617u      0.017s      0.978w      1 calls
HF: Form H                  :      0.000u      0.017s      0.010w      1 calls
HF: Form S/X                :      0.017u      0.000s      0.005w      1 calls
HF: Guess                   :      0.200u      0.000s      0.124w      1 calls
| SAD Guess                 :      0.200u      0.000s      0.123w      1 calls
HF: Form G                  :      9.317u      0.500s      5.887w     11 calls
| JK: D                     :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                :      0.000u      0.000s      0.000w     11 calls
| JK: JK                    :      9.317u      0.500s      5.883w     11 calls
| | JK: J                   :      0.450u      0.000s      0.282w     11 calls
| | | JK: J1                :      0.200u      0.000s      0.136w     11 calls
| | | JK: J2                :      0.250u      0.000s      0.144w     11 calls
| | JK: K                   :      8.733u      0.000s      5.246w     11 calls
| | | JK: K1                :      6.867u      0.000s      4.125w     11 calls
| | | JK: K2                :      1.867u      0.000s      1.120w     11 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     11 calls
HF: Form F                  :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                    :      0.100u      0.000s      0.029w     11 calls
| DIISManager::add_entry    :      0.033u      0.000s      0.003w     10 calls
| DIISManager::extrapolate  :      0.017u      0.000s      0.009w      9 calls
| | bMatrix setup           :      0.000u      0.000s      0.004w      9 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.000w      9 calls
| | New vector              :      0.017u      0.000s      0.004w      9 calls
HF: Form C                  :      0.017u      0.000s      0.053w     11 calls
HF: Form D                  :      0.000u      0.000s      0.001w     11 calls

***********************************************************
